类别,发展对象,预备党员,预备党员.1,转正
,,预审,请示,
国贸,20191014.0,20191204,20191205,20191217.0
经济,20191008.0,20191201,20191215,20191215.0
会一,20191015.0,20191207,20191214,20191219.0
会二,20191115.0,20191201,20191206,20191208.0
研(一二）,20191008.0,20191203,20191204,20191226.0
工信,20191008.0,20191206,20191209,20191224.0
电物,20191105.0,20191219,20191223,20191228.0
人营,20191009.0,20191202,20191207,20191228.0
法学,20191013.0,20191129,20191205,20191224.0
支部数量,9.0,9,9,9.0
总人数,100.0,76,82,76.0
请示统一落款时间,20191116.0,20191128,20191224,20191229.0
批复时间,20191125.0,20191205,20191231,20200106.0
