类别,发展对象,预备党员,预备党员.1,转正,九月份延期转正
,,预审,请示,,
国贸,20200413.0,20200907,20200908,20200529,20200908
经济,20200410.0,20200904,20200909,20200528,20200909
会一,20200407.0,20200831,20200907,20200609,20200907
会二,20200410.0,20200901,20200909,20200525,20200909
研一,20200413.0,20200906,20200907,20200530,无
研二,20200419.0,20200905,20200907,20200531,无
工信,20200402.0,20200522,20200910,20200526,20200910
电物,20200315.0,20200905,20200910,20200608,20200526
人营,20200325.0,20200502,20200905,无,20200905
法学,20200326.0,20200903,20200908,20200605,20200908
支部数量,10.0,10,10,9,8
总人数,80.0,81,81,21,34
请示统一落款时间,20200420.0,20200430,20200911,20200609,20200910
批复时间,20200427.0,20200507,20200918,20200616,20200917
